Great Expectation (1867)
Place,Frequency,Latitude,Longitude
London,46,51.507200,-0.127500
Hammersmith,6,51.491341,-0.223800
Britain,5,51.500000,-0.116700
Walworth,5,51.490000,-0.092900
England,3,51.500000,-0.116700
Smithfield,3,51.518700,-0.102400
Denmark,3,55.720000,12.570000
France,2,47.000000,2.000000
Camberwell,2,51.468200,-0.083100
Indies,2,1.000000,103.000000
Harrow,2,51.566700,-0.333300
Australia,2,-35.308000,149.124500
Dunstable,1,51.886000,-0.521000
Glastonbury,1,51.155000,-2.586000
Athens,1,37.966700,23.716700
Cheapside,1,51.514100,-0.937000
Holborn,1,51.517613,-0.120391
Ceylon,1,7.000000,81.000000
Westminster,1,51.500000,-0.133300
Europe,1,54.900000,25.316700
Cambridge,1,52.205000,0.119000
Somersetshire,1,51.180000,-3.000000
Greenwich,1,51.480000,0.000000
Soho,1,51.513100,-0.135200
Antwerp,1,51.216700,4.400000
Paris,1,48.856700,2.350800
Kew,1,51.481600,-0.287200
