Sense & Sensibility (1811)
Place,Frequency,Latitude,Longitude
London,35,51.507200,-0.127500
Devonshire,26,50.700000,-3.800000
Exeter,15,50.716800,-3.533300
Oxford,10,51.751900,-1.257800
Sussex,9,51.000000,0.000000
England,8,51.500000,-0.116700
Somersetshire,8,51.180000,-3.000000
Plymouth,6,50.371400,-4.142200
Dorsetshire,6,50.833300,-2.333300
Indies,2,1.000000,103.000000
Avignon,2,43.950000,4.810000
Hanover,2,52.366700,9.716700
Bath,2,51.380000,-2.360000
Kensington,2,51.501000,-0.193300
Weymouth,1,50.613000,-2.457000
Scotland,1,55.950000,-3.183300
Westminster,1,51.500000,-0.133300
Norfolk,1,52.666700,1.000000
Bristol,1,51.450000,-2.583300
Holborn,1,51.517613,-0.120391
Somerset,1,51.180000,-3.000000
